x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.6.30,2000-06-30 00:00:00,NL,2000,6,30,10.8,,8.5,,13,,14,,14,,0,,0,,,,,,0,,7.2,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.1,2000-07-01 00:00:00,NL,2000,7,1,15.5,,9,,22,,0,,0,,0,,0,,,,,,0,,2.5,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.2,2000-07-02 00:00:00,NL,2000,7,2,14.8,,11,,18.5,,0,,0,,0,,0,,,,,,0,,3.2,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.3,2000-07-03 00:00:00,NL,2000,7,3,12.8,,7.5,,18,,0,,0,,0,,0,,,,,,0,,5.2,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.4,2000-07-04 00:00:00,NL,2000,7,4,15.8,,13,,18.5,,0,,0,,0,,0,,,,,,0,,2.2,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.5,2000-07-05 00:00:00,NL,2000,7,5,18,,12,,24,,6.2,,6.2,,0,,0,,,,,,0,,0,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.6,2000-07-06 00:00:00,NL,2000,7,6,17.8,,12.5,,23,,4.4,,4.4,,0,,0,,,,,,0,,0.2,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.7,2000-07-07 00:00:00,NL,2000,7,7,14.5,,10,,19,,6.4,,6.4,,0,,0,,,,,,0,,3.5,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.8,2000-07-08 00:00:00,NL,2000,7,8,18.5,,15,,22,,2.2,,2.2,,0,,0,,,,,,0.5,,0,,,,,
-52.68333333333333,47.56666666666667,SIGNAL HILL,8403669,8403669.2000.7.9,2000-07-09 00:00:00,NL,2000,7,9,17.5,,14,,21,,0,,0,,0,,0,,,,,,0,,0.5,,,,,
