x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LOCAL_DATE_dt,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,date,DTR,T_mean,month,month_name,year
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.1,2000-01-01 00:00:00,2000-01-01,NL,2000,1,1,-8.3,-12.3,-4.2,0.2,0.0,0.2,6.0,0.0,26.3,2000-01-01,8.100000000000001,-8.25,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.2,2000-01-02 00:00:00,2000-01-02,NL,2000,1,2,-3.9,-8.8,1.1,0.4,0.0,0.4,6.0,0.0,21.9,2000-01-02,9.9,-3.8500000000000005,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.3,2000-01-03 00:00:00,2000-01-03,NL,2000,1,3,-1.1,-7.5,5.3,11.9,4.3,7.6,6.0,0.0,19.1,2000-01-03,12.8,-1.1,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.4,2000-01-04 00:00:00,2000-01-04,NL,2000,1,4,-4.6,-9.7,0.6,1.1,1.1,0.0,3.0,0.0,22.6,2000-01-04,10.299999999999999,-4.55,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.5,2000-01-05 00:00:00,2000-01-05,NL,2000,1,5,7.2,-0.6,15.0,12.5,12.3,0.2,0.0,0.0,10.8,2000-01-05,15.6,7.2,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.6,2000-01-06 00:00:00,2000-01-06,NL,2000,1,6,-6.2,-11.7,-0.6,1.0,0.0,1.0,0.0,0.0,24.2,2000-01-06,11.1,-6.1499999999999995,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.7,2000-01-07 00:00:00,2000-01-07,NL,2000,1,7,-5.6,-11.2,0.0,0.0,0.0,0.0,0.0,0.0,23.6,2000-01-07,11.2,-5.6,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.8,2000-01-08 00:00:00,2000-01-08,NL,2000,1,8,-0.8,-4.6,3.0,17.3,15.3,2.0,0.0,0.0,18.8,2000-01-08,7.6,-0.7999999999999998,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.9,2000-01-09 00:00:00,2000-01-09,NL,2000,1,9,-5.2,-8.1,-2.3,2.0,0.0,2.2,1.0,0.0,23.2,2000-01-09,5.8,-5.199999999999999,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.10,2000-01-10 00:00:00,2000-01-10,NL,2000,1,10,-1.0,-2.9,1.0,5.8,0.0,5.8,5.0,0.0,19.0,2000-01-10,3.9,-0.95,1,Jan,2000
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,8403506.2000.1.11,2000-01-11 00:00:00,2000-01-11,NL,2000,1,11,0.7,-2.6,4.0,5.2,5.2,0.0,2.0,0.0,17.3,2000-01-11,6.6,0.7,1,Jan,2000
